time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T19:14:34.260Z,37.4560013,-118.8293304,1.57,2,md,22,180,0.09131,0.03,nc,nc72903261,2017-10-02T19:23:24.471Z,"24km SSE of Mammoth Lakes, California",earthquake,0.41,1.11,0.13,21,automatic,nc,nc
2017-10-02T19:01:21.550Z,35.9316667,-117.6531667,2.29,1,ml,14,71,0.01636,0.17,ci,ci38017120,2017-10-02T19:04:53.844Z,"23km E of Little Lake, CA",earthquake,0.32,0.3,0.096,12,automatic,ci,ci
2017-10-02T19:00:47.720Z,40.7473335,-122.3044968,3.2,1.66,md,10,73,0.189,0.05,nc,nc72903251,2017-10-02T19:06:02.641Z,"9km NE of Shasta Lake, California",earthquake,0.4,7.67,0.15,6,automatic,nc,nc
2017-10-02T18:49:48.880Z,34.2796667,-117.133,5.54,1.66,ml,61,41,0.09664,0.14,ci,ci38017104,2017-10-02T19:00:41.010Z,"6km NE of Lake Arrowhead, CA",earthquake,0.19,0.66,0.154,30,automatic,ci,ci
2017-10-02T18:36:21.000Z,34.105,-117.1631667,27.02,1.77,ml,10,174,0.2532,0.22,ci,ci38017072,2017-10-02T18:40:04.008Z,"5km NW of Mentone, CA",earthquake,1.22,0.86,0.372,23,automatic,ci,ci
2017-10-02T18:29:16.480Z,33.9216667,-117.86,45.42,1.99,ml,12,99,0.1099,0.27,ci,ci38017064,2017-10-02T18:32:56.617Z,"4km E of Brea, CA",earthquake,1.24,3.33,0.408,33,automatic,ci,ci
2017-10-02T18:23:44.130Z,33.7248333,-116.8163333,15.88,0.77,ml,19,88,0.08624,0.13,ci,ci38017056,2017-10-02T18:27:20.863Z,"8km ESE of Valle Vista, CA",earthquake,0.37,0.48,0.121,13,automatic,ci,ci
2017-10-02T18:00:47.502Z,59.642,-152.9366,98.9,2.2,ml,,,,0.74,ak,ak16988088,2017-10-02T18:05:55.216Z,"63km WSW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-02T17:46:43.731Z,37.2386,-115.4944,0,1,ml,15,148.71,0.391,0.1826,nn,nn00607868,2017-10-02T18:20:49.325Z,"32km WSW of Alamo, Nevada",earthquake,,6,0.27,9,reviewed,nn,nn
2017-10-02T17:38:57.200Z,33.6281667,-116.6886667,7.81,0.28,ml,18,58,0.07461,0.25,ci,ci38017024,2017-10-02T17:42:30.997Z,"8km N of Anza, CA",earthquake,0.52,0.88,0.152,5,automatic,ci,ci
2017-10-02T17:02:36.000Z,37.4553337,-118.8301697,2.33,1.54,md,15,200,0.09217,0.03,nc,nc72903196,2017-10-02T18:04:02.792Z,"24km SSE of Mammoth Lakes, California",earthquake,0.51,0.99,0.26,11,automatic,nc,nc
2017-10-02T16:44:21.063Z,38.2527,-118.8102,14.4,0.4,ml,4,250.7,0.191,0.0379,nn,nn00607902,2017-10-02T19:18:13.071Z,"34km SSW of Hawthorne, Nevada",earthquake,,24.2,0.04,3,reviewed,nn,nn
2017-10-02T16:39:54.140Z,37.4546661,-118.8306656,2.12,1.44,md,13,190,0.09277,0.04,nc,nc72903176,2017-10-02T17:53:03.763Z,"24km SSE of Mammoth Lakes, California",earthquake,0.58,1.06,0.26,10,automatic,nc,nc
2017-10-02T16:38:53.546Z,38.3767,-118.3279,3.8,-0.1,ml,4,160.56,0.029,0.0737,nn,nn00607900,2017-10-02T19:15:00.706Z,"30km ESE of Hawthorne, Nevada",earthquake,,4.2,0.18,3,reviewed,nn,nn
2017-10-02T16:32:59.110Z,33.4245,-116.4148333,13.09,0.87,ml,25,156,0.09906,0.21,ci,ci38016944,2017-10-02T16:36:39.460Z,"19km N of Borrego Springs, CA",earthquake,0.53,0.82,0.167,23,automatic,ci,ci
2017-10-02T16:30:34.070Z,37.4550018,-118.8270035,2.15,1.93,md,29,180,0.08993,0.04,nc,nc72903166,2017-10-02T17:33:03.718Z,"25km SSE of Mammoth Lakes, California",earthquake,0.38,1.01,0.15,27,automatic,nc,nc
